Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Avversaria,Campo,Corner,Corner avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario
1,2,1,0,BOLOGNA,home,7,3,0,0,0,0,12,10,6,4,6,1,1,1,0,15,13,17,14,4,5,0,0,JUVENTUS,2009-10,15,12,9,7,6,5,0,0
2,1,0,1,JUVENTUS,away,3,7,0,0,0,0,10,12,4,6,6,1,1,0,1,13,15,14,17,5,4,0,0,BOLOGNA,2009-10,12,15,7,9,5,6,0,0
3,3,1,0,PALERMO,home,13,1,0,0,0,0,18,14,2,2,6,1,1,1,0,21,13,11,18,0,11,0,0,LAZIO,2009-10,20,4,7,3,13,1,0,0
3,3,0,1,LAZIO,away,1,13,0,0,0,0,14,18,2,2,6,1,1,0,1,13,21,18,11,11,0,0,0,PALERMO,2009-10,4,20,3,7,1,13,0,0
2,5,0,0,SIENA,home,0,3,0,0,0,0,16,13,9,3,6,2,1,0,0,6,5,5,3,1,2,1,0,NAPOLI,2009-10,7,4,3,2,4,2,0,0
5,2,0,0,NAPOLI,away,3,0,0,0,0,0,13,16,3,9,6,1,2,0,0,5,6,3,5,2,1,0,1,SIENA,2009-10,4,7,2,3,2,4,0,0
3,3,5,6,CAGLIARI,home,10,0,0,0,0,0,17,18,8,0,6,0,2,0,0,19,22,22,18,4,3,0,0,PARMA,2009-10,7,10,4,4,3,6,0,0
3,3,6,5,PARMA,away,0,10,0,0,0,0,18,17,0,8,6,2,0,0,0,22,19,18,22,3,4,0,0,CAGLIARI,2009-10,10,7,4,4,6,3,0,0
3,1,0,0,GENOA,home,5,4,0,0,0,0,19,17,6,3,6,2,0,0,0,8,9,10,7,0,5,0,0,UDINESE,2009-10,10,5,3,5,7,0,0,0
1,3,0,0,UDINESE,away,4,5,0,0,0,0,17,19,3,6,6,0,2,0,0,9,8,7,10,5,0,0,0,GENOA,2009-10,5,10,5,3,0,7,0,0
1,2,1,2,BARI,home,5,4,0,0,0,0,12,11,5,0,6,0,0,0,0,17,19,13,10,7,5,0,0,MILAN,2009-10,7,14,3,8,4,6,0,0
2,1,2,1,MILAN,away,4,5,0,0,0,0,11,12,0,5,6,0,0,0,0,19,17,10,13,5,7,0,0,BARI,2009-10,14,7,8,3,6,4,0,0
0,5,2,1,CATANIA,home,2,3,0,0,0,0,22,13,3,0,7,0,0,1,0,29,11,9,15,2,2,0,0,BARI,2009-10,5,9,2,7,3,2,0,0
5,0,1,2,BARI,away,3,2,0,0,0,0,13,22,0,3,7,0,0,0,1,11,29,15,9,2,2,0,0,CATANIA,2009-10,9,5,7,2,2,3,0,0
2,5,1,2,UDINESE,home,4,3,0,0,0,0,17,12,2,1,7,2,1,0,0,20,24,15,9,3,5,0,0,INTER,2009-10,17,10,10,6,7,4,0,0
5,2,2,1,INTER,away,3,4,0,0,0,0,12,17,1,2,7,1,2,0,0,24,20,9,15,5,3,0,0,UDINESE,2009-10,10,17,6,10,4,7,0,0
4,3,0,1,MILAN,home,2,4,1,0,0,0,13,12,3,8,7,1,1,0,1,2,4,0,1,5,0,0,0,ATALANTA,2009-10,6,13,5,6,1,7,0,0
3,4,1,0,ATALANTA,away,4,2,0,1,0,0,12,13,8,3,7,1,1,1,0,4,2,1,0,0,5,0,0,MILAN,2009-10,13,6,6,5,7,1,0,0
3,1,3,6,GENOA,home,8,2,0,1,0,0,22,18,3,1,7,1,3,1,0,27,15,15,27,1,5,1,1,BOLOGNA,2009-10,11,6,4,2,7,4,0,0
1,3,6,3,BOLOGNA,away,2,8,1,0,0,0,18,22,1,3,7,3,1,0,1,15,27,27,15,5,1,1,1,GENOA,2009-10,6,11,2,4,4,7,0,0
2,2,1,2,CHIEVOVERONA,home,7,6,0,0,0,0,12,17,2,4,7,1,2,1,0,17,9,4,6,4,2,0,0,CAGLIARI,2009-10,6,8,2,2,4,6,0,0
